KEGG,Uniprot_KB_id,interaction
CIDs00012211,9606.ENSP00000499020,False
CIDs00012211,9606.ENSP00000360715,False
CIDs00012211,9606.ENSP00000371061,True
CIDs00012211,9606.ENSP00000439065,False
CIDs00012211,9606.ENSP00000400168,False
CIDs00012211,9606.ENSP00000264167,True
CIDs00012211,9606.ENSP00000359025,False
CIDs00012211,9606.ENSP00000348442,False
CIDs00012211,9606.ENSP00000217971,True
CIDs00012211,9606.ENSP00000484855,False
CIDs00012211,9606.ENSP00000337675,False
CIDs00012211,9606.ENSP00000461784,False
CIDs00012211,9606.ENSP00000299427,False
CIDs00012211,9606.ENSP00000407182,True
CIDs00012211,9606.ENSP00000464522,False
CIDs00012211,9606.ENSP00000264108,True
CIDs00012211,9606.ENSP00000267842,False
CIDs00012211,9606.ENSP00000384863,True
CIDs00012211,9606.ENSP00000265990,False
CIDs00012211,9606.ENSP00000352288,False
CIDs00012211,9606.ENSP00000440915,True
CIDs00012211,9606.ENSP00000481886,False
CIDs00012211,9606.ENSP00000355607,True
CIDs00012211,9606.ENSP00000262554,False
CIDs00012211,9606.ENSP00000216484,False
CIDs00012211,9606.ENSP00000256079,False
CIDs00012211,9606.ENSP00000356918,False
CIDs00012211,9606.ENSP00000463978,False
CIDs00012211,9606.ENSP00000362547,False
CIDs00012211,9606.ENSP00000308430,False
CIDs00012211,9606.ENSP00000493382,False
CIDs00012211,9606.ENSP00000217121,True
CIDs00012211,9606.ENSP00000327821,True
CIDs00012211,9606.ENSP00000270538,False
CIDs00012211,9606.ENSP00000466379,False
CIDs00012211,9606.ENSP00000258301,False
CIDs00012211,9606.ENSP00000221566,False
CIDs00012211,9606.ENSP00000297431,False
CIDs00012211,9606.ENSP00000441953,True
CIDs00012211,9606.ENSP00000354681,False
CIDs00012211,9606.ENSP00000339787,True
CIDs00012211,9606.ENSP00000221957,True
CIDs00012211,9606.ENSP00000319501,False
CIDs00012211,9606.ENSP00000382004,False
CIDs00012211,9606.ENSP00000360638,True
CIDs00012211,9606.ENSP00000314030,False
CIDs00012211,9606.ENSP00000327760,False
CIDs00012211,9606.ENSP00000262507,False
CIDs00012211,9606.ENSP00000264933,True
CIDs00012211,9606.ENSP00000388658,False
CIDs00012211,9606.ENSP00000490083,False
CIDs00012211,9606.ENSP00000480439,False
CIDs00012211,9606.ENSP00000301587,True
CIDs00012211,9606.ENSP00000365569,False
CIDs00012211,9606.ENSP00000300688,True
CIDs00012211,9606.ENSP00000300107,False
CIDs00012211,9606.ENSP00000478783,True
CIDs00012211,9606.ENSP00000284320,False
CIDs00012211,9606.ENSP00000358283,False
CIDs00012211,9606.ENSP00000317379,False
CIDs00012211,9606.ENSP00000416338,False
CIDs00012211,9606.ENSP00000305653,True
CIDs00012211,9606.ENSP00000225724,False
CIDs00012211,9606.ENSP00000417175,False
CIDs00012211,9606.ENSP00000369042,False
CIDs00012211,9606.ENSP00000427424,False
CIDs00012211,9606.ENSP00000350012,True
CIDs00012211,9606.ENSP00000360329,False
