meta,protein,score
CIDs00091493,511145.b0523,0
CIDs00091493,511145.b1656,0
CIDs00091493,511145.b0677,0
CIDs00091493,511145.b2311,0
CIDs00091493,511145.b0312,0
CIDs00091493,511145.b4129,0
CIDs00091493,511145.b0368,0
CIDs00091493,511145.b0635,0
CIDs00091493,511145.b2582,0
CIDs00091493,511145.b4394,0
CIDs00091493,511145.b0516,0
CIDs00091493,511145.b0604,0
CIDs00091493,511145.b3919,0
CIDs00091493,511145.b0871,0
CIDs00091493,511145.b2930,0
CIDs00091493,511145.b3397,0
CIDs00091493,511145.b3222,0
CIDs00091493,511145.b3430,0
CIDs00091493,511145.b3255,0
CIDs00091493,511145.b1102,0
CIDs00091493,511145.b0954,0
CIDs00091493,511145.b0724,0
CIDs00091493,511145.b2320,0
CIDs00091493,511145.b3994,0
CIDs00091493,511145.b4242,0
CIDs00091493,511145.b0910,0
CIDs00091493,511145.b3403,0
CIDs00091493,511145.b3519,0
CIDs00091493,511145.b3581,0
CIDs00091493,511145.b3860,0
CIDs00091493,511145.b1250,0
CIDs00091493,511145.b2750,0
CIDs00091493,511145.b2264,0
CIDs00091493,511145.b2541,0
CIDs00091493,511145.b2097,0
CIDs00091493,511145.b2521,1
CIDs00091493,511145.b3187,0
CIDs00091493,511145.b0723,0
CIDs00091493,511145.b3544,0
CIDs00091493,511145.b2518,0
CIDs00091493,511145.b0090,0
CIDs00091493,511145.b2241,0
CIDs00091493,511145.b2551,0
CIDs00091493,511145.b3433,0
CIDs00091493,511145.b3642,0
CIDs00091493,511145.b1261,0
CIDs00091493,511145.b2091,0
CIDs00091493,511145.b2239,0
CIDs00091493,511145.b3850,0
CIDs00091493,511145.b1210,0
CIDs00091493,511145.b2895,0
CIDs00091493,511145.b2964,0
CIDs00091493,511145.b1199,0
CIDs00091493,511145.b4132,0
CIDs00091493,511145.b2104,0
CIDs00091493,511145.b3359,0
CIDs00091493,511145.b3790,0
CIDs00091493,511145.b3996,0
CIDs00091493,511145.b3182,0
CIDs00091493,511145.b0031,1
CIDs00091493,511145.b0678,0
CIDs00091493,511145.b0086,0
CIDs00091493,511145.b3290,0
CIDs00091493,511145.b4227,0
CIDs00091493,511145.b0133,0
CIDs00091493,511145.b0428,0
CIDs00091493,511145.b0588,0
CIDs00091493,511145.b0785,0
CIDs00091493,511145.b2032,0
CIDs00091493,511145.b1764,0
CIDs00091493,511145.b1746,0
CIDs00091493,511145.b3974,0
CIDs00091493,511145.b4390,0
CIDs00091493,511145.b0212,0
CIDs00091493,511145.b2066,0
CIDs00091493,511145.b2312,0
CIDs00091493,511145.b4245,0
CIDs00091493,511145.b3350,0
CIDs00091493,511145.b2901,0
CIDs00091493,511145.b3788,0
CIDs00091493,511145.b0200,0
CIDs00091493,511145.b0855,0
CIDs00091493,511145.b0826,0
CIDs00091493,511145.b1606,0
CIDs00091493,511145.b1378,0
CIDs00091493,511145.b1095,0
CIDs00091493,511145.b0929,0
CIDs00091493,511145.b0036,0
CIDs00091493,511145.b2235,0
CIDs00091493,511145.b0573,0
CIDs00091493,511145.b0171,0
CIDs00091493,511145.b1603,0
CIDs00091493,511145.b2988,0
CIDs00091493,511145.b3634,0
CIDs00091493,511145.b3870,0
CIDs00091493,511145.b3565,0
CIDs00091493,511145.b3803,0
CIDs00091493,511145.b4196,0
CIDs00091493,511145.b1805,0
CIDs00091493,511145.b0068,0
CIDs00091493,511145.b2029,1
CIDs00091493,511145.b1263,0
CIDs00091493,511145.b0197,0
CIDs00091493,511145.b0420,0
CIDs00091493,511145.b2817,0
CIDs00091493,511145.b2600,0
CIDs00091493,511145.b1189,0
CIDs00091493,511145.b3560,0
CIDs00091493,511145.b2291,0
CIDs00091493,511145.b2787,0
CIDs00091493,511145.b0199,0
CIDs00091493,511145.b1854,0
CIDs00091493,511145.b2947,0
CIDs00091493,511145.b2400,0
CIDs00091493,511145.b0639,0
CIDs00091493,511145.b1704,0
CIDs00091493,511145.b3665,0
CIDs00091493,511145.b2027,0
CIDs00091493,511145.b4219,0
CIDs00091493,511145.b3806,0
CIDs00091493,511145.b0860,0
CIDs00091493,511145.b0383,0
CIDs00091493,511145.b2132,0
CIDs00091493,511145.b0652,0
CIDs00091493,511145.b2530,0
CIDs00091493,511145.b3867,0
CIDs00091493,511145.b2720,0
CIDs00091493,511145.b2441,0
CIDs00091493,511145.b2789,0
CIDs00091493,511145.b3804,0
CIDs00091493,511145.b0930,0
CIDs00091493,511145.b3616,0
CIDs00091493,511145.b3857,0
CIDs00091493,511145.b4226,0
CIDs00091493,511145.b2995,0
CIDs00091493,511145.b0680,0
CIDs00091493,511145.b2763,0
CIDs00091493,511145.b2744,0
CIDs00091493,511145.b1245,0
CIDs00091493,511145.b0767,1
CIDs00091493,511145.b1855,0
CIDs00091493,511145.b2711,0
CIDs00091493,511145.b3542,0
CIDs00091493,511145.b4468,0
CIDs00091493,511145.b0104,0
CIDs00091493,511145.b1479,0
CIDs00091493,511145.b2019,1
CIDs00091493,511145.b3940,0
CIDs00091493,511145.b0763,0
CIDs00091493,511145.b2150,0
CIDs00091493,511145.b0526,0
CIDs00091493,511145.b0963,0
CIDs00091493,511145.b0811,0
CIDs00091493,511145.b2926,0
CIDs00091493,511145.b2467,0
CIDs00091493,511145.b3429,0
CIDs00091493,511145.b3553,0
CIDs00091493,511145.b0933,0
CIDs00091493,511145.b1849,0
CIDs00091493,511145.b2149,0
