meta,protein,target,source
CIDs00000051,511145.b0002,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0003,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0004,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0006,False,pmidb_ecoil
CIDs00000051,511145.b0008,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0009,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0014,False,pmidb_ecoil
CIDs00000051,511145.b0015,False,pmidb_ecoil
CIDs00000051,511145.b0019,0,piazza
CIDs00000051,511145.b0023,False,pmidb_ecoil
CIDs00000051,511145.b0025,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0026,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0028,False,pmidb_ecoil
CIDs00000051,511145.b0029,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0030,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0031,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0032,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0033,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0034,False,pmidb_ecoil
CIDs00000051,511145.b0036,0,piazza
CIDs00000051,511145.b0037,0,piazza
CIDs00000051,511145.b0038,0,piazza
CIDs00000051,511145.b0040,0,piazza
CIDs00000051,511145.b0048,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0049,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0050,False,pmidb_ecoil
CIDs00000051,511145.b0051,False,pmidb_ecoil
CIDs00000051,511145.b0052,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0053,False,pmidb_ecoil
CIDs00000051,511145.b0054,False,pmidb_ecoil
CIDs00000051,511145.b0059,False,pmidb_ecoil
CIDs00000051,511145.b0066,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0067,0,piazza
CIDs00000051,511145.b0068,False,piazza;pmidb_ecoil
CIDs00000051,511145.b0070,0,piazza
CIDs00000051,511145.b0071,False,piazza;pmidb_ecoil
