meta,protein,target
CIDs45489773,511145.b3781,0
CIDs45489773,511145.b3371,0
CIDs45489773,511145.b3966,0
CIDs45489773,511145.b4240,0
CIDs45489773,511145.b0754,0
CIDs45489773,511145.b1744,0
CIDs45489773,511145.b0809,0
CIDs45489773,511145.b3909,0
CIDs45489773,511145.b2049,0
CIDs45489773,511145.b1483,0
CIDs45489773,511145.b3749,0
CIDs45489773,511145.b0910,0
CIDs45489773,511145.b2132,0
CIDs45489773,511145.b2721,0
CIDs45489773,511145.b0331,0
CIDs45489773,511145.b4054,0
CIDs45489773,511145.b0864,0
CIDs45489773,511145.b2022,0
CIDs45489773,511145.b2802,0
CIDs45489773,511145.b3809,0
CIDs45489773,511145.b3725,0
CIDs45489773,511145.b2029,0
CIDs45489773,511145.b4460,0
CIDs45489773,511145.b0109,0
CIDs45489773,511145.b1982,0
CIDs45489773,511145.b1378,0
CIDs45489773,511145.b0090,0
CIDs45489773,511145.b2797,0
CIDs45489773,511145.b0650,0
CIDs45489773,511145.b3117,0
CIDs45489773,511145.b4394,0
CIDs45489773,511145.b3500,0
CIDs45489773,511145.b0837,0
CIDs45489773,511145.b1488,0
CIDs45489773,511145.b2378,0
CIDs45489773,511145.b2482,0
CIDs45489773,511145.b0009,0
CIDs45489773,511145.b1927,0
CIDs45489773,511145.b1216,0
CIDs45489773,511145.b0813,0
CIDs45489773,511145.b0929,0
CIDs45489773,511145.b0185,0
CIDs45489773,511145.b0198,0
CIDs45489773,511145.b4192,0
CIDs45489773,511145.b0104,0
CIDs45489773,511145.b3621,0
CIDs45489773,511145.b2515,0
CIDs45489773,511145.b1090,0
CIDs45489773,511145.b0166,0
CIDs45489773,511145.b2935,0
CIDs45489773,511145.b0341,0
CIDs45489773,511145.b3426,0
CIDs45489773,511145.b3365,0
CIDs45489773,511145.b0996,0
CIDs45489773,511145.b0110,0
CIDs45489773,511145.b3788,0
CIDs45489773,511145.b1485,0
CIDs45489773,511145.b2155,0
CIDs45489773,511145.b3732,0
CIDs45489773,511145.b2883,0
CIDs45489773,511145.b1779,0
CIDs45489773,511145.b2476,0
CIDs45489773,511145.b2285,0
CIDs45489773,511145.b2169,0
CIDs45489773,511145.b3722,0
CIDs45489773,511145.b0764,0
CIDs45489773,511145.b2817,0
CIDs45489773,511145.b0120,0
CIDs45489773,511145.b3708,0
CIDs45489773,511145.b0612,0
CIDs45489773,511145.b1662,0
CIDs45489773,511145.b3368,0
CIDs45489773,511145.b3528,0
CIDs45489773,511145.b1249,0
CIDs45489773,511145.b3785,0
CIDs45489773,511145.b4079,0
CIDs45489773,511145.b1185,0
CIDs45489773,511145.b0463,0
CIDs45489773,511145.b4474,0
CIDs45489773,511145.b2150,0
CIDs45489773,511145.b3430,0
CIDs45489773,511145.b1288,0
CIDs45489773,511145.b3432,0
CIDs45489773,511145.b3952,0
CIDs45489773,511145.b2708,0
CIDs45489773,511145.b1193,0
CIDs45489773,511145.b0200,0
CIDs45489773,511145.b2498,0
CIDs45489773,511145.b2310,0
CIDs45489773,511145.b2204,0
CIDs45489773,511145.b0474,0
CIDs45489773,511145.b0086,0
CIDs45489773,511145.b0237,0
CIDs45489773,511145.b3844,0
CIDs45489773,511145.b3967,0
