meta,protein,score
CIDs00064689,4932.YLL060C,0
CIDs00064689,4932.YMR170C,0
CIDs00064689,4932.YDR539W,0
CIDs00064689,4932.YDR400W,0
CIDs00064689,4932.YLR359W,0
CIDs00064689,4932.YNL275W,0
CIDs00064689,4932.YCR107W,0
CIDs00064689,4932.YMR058W,0
CIDs00064689,4932.YHR190W,0
CIDs00064689,4932.YBR021W,0
CIDs00064689,4932.YML054C,0
CIDs00064689,4932.YCL018W,0
CIDs00064689,4932.YOR388C,0
CIDs00064689,4932.YMR250W,0
CIDs00064689,4932.YPL135W,0
CIDs00064689,4932.YOR306C,0
CIDs00064689,4932.YGR287C,1
CIDs00064689,4932.YMR062C,0
CIDs00064689,4932.YOL065C,0
CIDs00064689,4932.YLR299W,0
CIDs00064689,4932.YHR002W,0
CIDs00064689,4932.YHR174W,0
CIDs00064689,4932.YML106W,0
CIDs00064689,4932.YDR037W,0
CIDs00064689,4932.YKL194C,0
CIDs00064689,4932.YNL277W,0
CIDs00064689,4932.YML042W,0
CIDs00064689,4932.YMR210W,0
CIDs00064689,4932.YLR214W,0
CIDs00064689,4932.YBR263W,0
CIDs00064689,4932.YLR285W,0
CIDs00064689,4932.YIR031C,0
CIDs00064689,4932.YJR143C,0
CIDs00064689,4932.YPL061W,0
CIDs00064689,4932.YER141W,0
CIDs00064689,4932.YHR072W,0
CIDs00064689,4932.YOR125C,0
CIDs00064689,4932.YDR353W,0
CIDs00064689,4932.YEL024W,0
CIDs00064689,4932.YPL227C,0
CIDs00064689,4932.YLR348C,0
CIDs00064689,4932.YOR241W,0
CIDs00064689,4932.YGR032W,1
CIDs00064689,4932.YPL023C,0
CIDs00064689,4932.YDR343C,0
CIDs00064689,4932.YKL001C,0
CIDs00064689,4932.YMR208W,0
CIDs00064689,4932.YGL077C,0
CIDs00064689,4932.YHR008C,0
CIDs00064689,4932.YBL039C,0
CIDs00064689,4932.YLR239C,0
CIDs00064689,4932.YJR095W,0
CIDs00064689,4932.YLR130C,0
CIDs00064689,4932.YNR019W,0
CIDs00064689,4932.YBR249C,0
CIDs00064689,4932.YIR029W,0
CIDs00064689,4932.YGR171C,0
CIDs00064689,4932.YHR013C,0
CIDs00064689,4932.YDL095W,0
CIDs00064689,4932.YJL046W,0
CIDs00064689,4932.YER086W,0
CIDs00064689,4932.YPR058W,0
CIDs00064689,4932.YIL111W,0
CIDs00064689,4932.YLR146C,0
CIDs00064689,4932.YPL271W,0
CIDs00064689,4932.YDL168W,0
CIDs00064689,4932.YLR100W,0
CIDs00064689,4932.YCR048W,0
CIDs00064689,4932.YBL045C,0
CIDs00064689,4932.YCL009C,0
CIDs00064689,4932.YAL023C,0
CIDs00064689,4932.YKL218C,0
CIDs00064689,4932.YLR342W,1
CIDs00064689,4932.Q0250,0
CIDs00064689,4932.YBR042C,0
CIDs00064689,4932.YDR072C,0
CIDs00064689,4932.YBR038W,0
CIDs00064689,4932.YGL047W,0
CIDs00064689,4932.YKL150W,0
CIDs00064689,4932.YML056C,0
CIDs00064689,4932.YOL052C,0
CIDs00064689,4932.YER005W,0
CIDs00064689,4932.YKL184W,0
CIDs00064689,4932.YDR513W,0
CIDs00064689,4932.YGR277C,0
CIDs00064689,4932.YEL027W,0
CIDs00064689,4932.YGR015C,0
CIDs00064689,4932.YPL212C,0
CIDs00064689,4932.YOR209C,0
CIDs00064689,4932.YCL040W,1
CIDs00064689,4932.YGR154C,0
CIDs00064689,4932.YKL094W,0
CIDs00064689,4932.YPL092W,0
CIDs00064689,4932.YDR354W,0
CIDs00064689,4932.YPL175W,0
CIDs00064689,4932.YDR380W,0
CIDs00064689,4932.YDR502C,0
CIDs00064689,4932.YGL202W,0
CIDs00064689,4932.YHR044C,0
CIDs00064689,4932.YKL106W,0
CIDs00064689,4932.YLR260W,0
CIDs00064689,4932.YER174C,0
CIDs00064689,4932.YIL020C,0
CIDs00064689,4932.YLR011W,0
CIDs00064689,4932.YFR033C,0
CIDs00064689,4932.YKL008C,0
CIDs00064689,4932.YKL141W,0
CIDs00064689,4932.YJL221C,1
CIDs00064689,4932.YNR016C,0
CIDs00064689,4932.YOL020W,0
CIDs00064689,4932.YOR270C,0
CIDs00064689,4932.YLL031C,0
CIDs00064689,4932.YDR009W,0
CIDs00064689,4932.YHR109W,0
CIDs00064689,4932.YML022W,0
CIDs00064689,4932.YFL054C,0
CIDs00064689,4932.YCR053W,0
CIDs00064689,4932.YDR093W,0
CIDs00064689,4932.YDR440W,0
CIDs00064689,4932.YLR432W,0
CIDs00064689,4932.YBR183W,0
CIDs00064689,4932.YDR483W,0
CIDs00064689,4932.YDL185W,0
CIDs00064689,4932.YDR408C,0
CIDs00064689,4932.YHL016C,0
CIDs00064689,4932.YKL067W,0
CIDs00064689,4932.YJR139C,0
CIDs00064689,4932.YLR189C,0
CIDs00064689,4932.YMR015C,0
CIDs00064689,4932.YPL069C,0
CIDs00064689,4932.YDL166C,0
CIDs00064689,4932.YBR298C,0
CIDs00064689,4932.YDL078C,0
CIDs00064689,4932.YLL012W,0
CIDs00064689,4932.YER163C,0
CIDs00064689,4932.YNL092W,0
CIDs00064689,4932.YLL015W,0
CIDs00064689,4932.YGL234W,0
CIDs00064689,4932.YJR158W,0
CIDs00064689,4932.YLR109W,0
CIDs00064689,4932.YGR055W,0
CIDs00064689,4932.YPR139C,0
CIDs00064689,4932.YNL101W,0
CIDs00064689,4932.YOR095C,0
CIDs00064689,4932.YNL247W,0
CIDs00064689,4932.YNL292W,0
CIDs00064689,4932.YPL111W,0
CIDs00064689,4932.YPL172C,0
CIDs00064689,4932.YDR173C,0
CIDs00064689,4932.YGR007W,0
