KEGG,Uniprot_KB_id,interaction
C00002,P00350,True
C00002,P00363,False
C00002,P00370,False
C00002,P00393,False
C00002,P00448,False
C00002,P00452,True
C00002,P00509,False
C00002,P00547,False
C00002,P00561,True
C00002,P00562,False
C00002,P00579,True
C00002,P00582,False
C00002,P00634,False
C00002,P00722,False
C00002,P00811,False
C00002,P00861,False
C00002,P00864,True
C00002,P00887,True
C00002,P00888,False
C00002,P00893,False
C00002,P00894,True
C00002,P00895,False
C00002,P00903,False
C00002,P00904,False
C00002,P00909,False
C00002,P00926,False
C00002,P00934,True
C00002,P00935,False
C00002,P00936,False
C00002,P00946,False
C00002,P00954,True
C00002,P00956,False
C00002,P00957,True
C00002,P00959,True
C00002,P00960,False
C00002,P00961,True
C00002,P00962,False
C00002,P00963,True
C00002,P00968,True
C00002,P02358,True
C00002,P02359,True
C00002,P02413,True
C00002,P02924,False
C00002,P02925,False
C00002,P02929,False
C00002,P02930,False
C00002,P02931,False
C00002,P03004,False
C00002,P03007,False
C00002,P03018,False
C00002,P03023,False
C00002,P03813,False
C00002,P03817,False
C00002,P03841,False
C00002,P04036,False
C00002,P04079,True
C00002,P04128,False
C00002,P04335,False
C00002,P04391,False
C00002,P04395,False
C00002,P04425,False
C00002,P04693,False
C00002,P04805,True
C00002,P04816,False
C00002,P04825,False
C00002,P04846,False
C00002,P04951,False
C00002,P04968,False
C00002,P04982,False
C00002,P04995,False
C00002,P05020,False
C00002,P05041,False
C00002,P05042,False
C00002,P05055,False
C00002,P05100,False
C00002,P05194,False
C00002,P05458,False
C00002,P05459,False
C00002,P05637,False
C00002,P05719,False
C00002,P05791,False
C00002,P05793,True
C00002,P05852,False
C00002,P06136,False
C00002,P06149,False
C00002,P06610,True
C00002,P06612,False
C00002,P06616,False
C00002,P06709,False
C00002,P06710,False
C00002,P06715,False
C00002,P06720,False
C00002,P06721,False
C00002,P06846,False
C00002,P06959,True
C00002,P06960,False
C00002,P06961,False
C00002,P06966,False
C00002,P06968,False
C00002,P06983,False
C00002,P06986,False
C00002,P06987,False
C00002,P06988,False
C00002,P06989,False
C00002,P06992,False
C00002,P06993,False
C00002,P06996,False
C00002,P06999,True
C00002,P07000,False
C00002,P07001,False
C00002,P07003,False
C00002,P07004,False
C00002,P07012,False
C00002,P07013,False
C00002,P07014,False
C00002,P07023,False
C00002,P07024,False
C00002,P07102,False
C00002,P07109,False
C00002,P07118,False
C00002,P07395,False
C00002,P07604,False
C00002,P07623,False
C00002,P07639,False
C00002,P07648,False
C00002,P07649,False
C00002,P07650,False
C00002,P07762,False
C00002,P07813,False
C00002,P07821,False
C00002,P07862,False
C00002,P07913,False
C00002,P08142,False
C00002,P08178,True
C00002,P08179,False
C00002,P08192,False
C00002,P08200,False
C00002,P08201,False
C00002,P08244,False
C00002,P08245,False
C00002,P08312,True
C00002,P08331,False
C00002,P08368,False
C00002,P08369,False
C00002,P08373,False
C00002,P08390,True
C00002,P08394,False
C00002,P08506,False
C00002,P08622,False
C00002,P08660,False
C00002,P08839,False
C00002,P08956,False
C00002,P08957,False
C00002,P08997,False
C00002,P09029,True
C00002,P09030,False
C00002,P09053,False
C00002,P09099,False
C00002,P09127,False
C00002,P09147,False
C00002,P09148,False
C00002,P09151,True
C00002,P09155,False
C00002,P09158,False
C00002,P09169,False
C00002,P09372,False
C00002,P09373,False
C00002,P09394,False
C00002,P09424,False
C00002,P09546,False
C00002,P09551,False
C00002,P09831,False
C00002,P09832,False
C00002,P09980,True
C00002,P09996,False
C00002,P0A698,False
C00002,P0A6A3,True
C00002,P0A6A6,True
C00002,P0A6A8,True
C00002,P0A6B4,False
C00002,P0A6B7,True
C00002,P0A6C1,False
C00002,P0A6C5,False
C00002,P0A6C8,False
C00002,P0A6D0,False
C00002,P0A6D3,False
C00002,P0A6D7,False
C00002,P0A6E1,True
C00002,P0A6E4,True
C00002,P0A6E6,False
C00002,P0A6E9,False
C00002,P0A6F1,False
C00002,P0A6F3,False
C00002,P0A6F5,False
C00002,P0A6F9,False
C00002,P0A6G3,False
C00002,P0A6G7,False
C00002,P0A6H1,True
C00002,P0A6H5,True
C00002,P0A6I0,True
C00002,P0A6I3,False
C00002,P0A6I6,True
C00002,P0A6I9,False
C00002,P0A6J1,True
C00002,P0A6J5,False
C00002,P0A6J8,False
C00002,P0A6K1,False
C00002,P0A6K3,False
C00002,P0A6K6,False
C00002,P0A6L0,False
C00002,P0A6L2,False
C00002,P0A6L4,False
C00002,P0A6L9,False
C00002,P0A6M4,False
C00002,P0A6M8,True
C00002,P0A6N4,False
C00002,P0A6N8,False
C00002,P0A6P1,True
C00002,P0A6P5,False
C00002,P0A6P7,False
C00002,P0A6P9,True
C00002,P0A6Q3,False
C00002,P0A6Q6,False
C00002,P0A6R0,False
C00002,P0A6R3,False
C00002,P0A6S7,False
C00002,P0A6T1,False
C00002,P0A6T3,False
C00002,P0A6T5,True
C00002,P0A6T9,False
C00002,P0A6U3,False
C00002,P0A6U5,False
C00002,P0A6U8,False
C00002,P0A6V1,False
C00002,P0A6V5,False
C00002,P0A6V8,False
C00002,P0A6W0,False
C00002,P0A6W5,False
C00002,P0A6W9,False
C00002,P0A6X1,False
C00002,P0A6X3,False
C00002,P0A6X7,False
C00002,P0A6Y1,False
C00002,P0A6Y5,False
C00002,P0A6Y8,True
C00002,P0A6Z1,True
C00002,P0A6Z3,True
C00002,P0A6Z6,False
C00002,P0A705,True
C00002,P0A707,False
C00002,P0A715,True
C00002,P0A717,True
C00002,P0A720,True
C00002,P0A722,False
C00002,P0A725,False
C00002,P0A729,False
C00002,P0A731,True
C00002,P0A734,False
C00002,P0A738,False
C00002,P0A744,False
C00002,P0A746,False
C00002,P0A749,False
C00002,P0A756,False
C00002,P0A759,False
C00002,P0A761,False
C00002,P0A763,True
C00002,P0A780,False
C00002,P0A784,False
C00002,P0A786,False
C00002,P0A790,False
C00002,P0A794,False
C00002,P0A796,False
C00002,P0A799,True
C00002,P0A7A2,False
C00002,P0A7A5,False
C00002,P0A7A9,True
C00002,P0A7B1,False
C00002,P0A7B3,False
C00002,P0A7B5,True
C00002,P0A7B8,False
C00002,P0A7C2,False
C00002,P0A7C6,False
C00002,P0A7D1,False
C00002,P0A7D4,False
C00002,P0A7D7,True
C00002,P0A7E1,False
C00002,P0A7E3,False
C00002,P0A7E5,True
C00002,P0A7E9,False
C00002,P0A7F3,True
C00002,P0A7F6,False
C00002,P0A7F9,False
C00002,P0A7G2,False
C00002,P0A7G6,True
C00002,P0A7H6,False
C00002,P0A7I0,False
C00002,P0A7I4,False
C00002,P0A7I7,False
C00002,P0A7J0,False
C00002,P0A7J3,True
C00002,P0A7J7,True
C00002,P0A7K2,True
C00002,P0A7K6,True
C00002,P0A7L0,False
C00002,P0A7L3,True
C00002,P0A7L8,True
C00002,P0A7M2,True
C00002,P0A7M6,True
C00002,P0A7M9,True
C00002,P0A7N4,True
C00002,P0A7N9,True
C00002,P0A7P5,True
C00002,P0A7Q1,True
C00002,P0A7Q6,False
C00002,P0A7R1,True
C00002,P0A7R5,True
C00002,P0A7R9,True
C00002,P0A7S3,True
C00002,P0A7S9,True
C00002,P0A7T3,True
C00002,P0A7T7,True
C00002,P0A7U3,True
C00002,P0A7U7,True
C00002,P0A7V0,True
C00002,P0A7V3,True
C00002,P0A7V8,True
C00002,P0A7W1,True
C00002,P0A7W7,True
C00002,P0A7X3,True
C00002,P0A7X6,True
C00002,P0A7Y0,False
C00002,P0A7Y4,False
C00002,P0A7Y8,False
C00002,P0A7Z0,False
C00002,P0A7Z4,False
C00002,P0A800,True
C00002,P0A805,False
C00002,P0A812,True
C00002,P0A817,False
C00002,P0A821,False
C00002,P0A823,False
C00002,P0A825,False
C00002,P0A832,True
C00002,P0A836,False
C00002,P0A840,False
C00002,P0A847,False
C00002,P0A850,True
C00002,P0A853,False
C00002,P0A855,False
C00002,P0A858,False
C00002,P0A862,False
C00002,P0A867,False
C00002,P0A870,False
C00002,P0A873,False
C00002,P0A877,False
C00002,P0A879,False
C00002,P0A881,False
C00002,P0A884,False
C00002,P0A887,False
C00002,P0A890,False
C00002,P0A894,True
C00002,P0A898,False
C00002,P0A8A0,False
C00002,P0A8A2,False
C00002,P0A8A4,True
C00002,P0A8A8,False
C00002,P0A8B2,False
C00002,P0A8B5,False
C00002,P0A8C1,False
C00002,P0A8C4,False
C00002,P0A8D0,True
C00002,P0A8D6,True
C00002,P0A8E1,False
C00002,P0A8E5,False
C00002,P0A8E7,False
C00002,P0A8F0,True
C00002,P0A8F4,False
C00002,P0A8F8,False
C00002,P0A8G0,False
C00002,P0A8G3,False
C00002,P0A8G6,False
C00002,P0A8G9,False
C00002,P0A8H6,True
C00002,P0A8H8,False
C00002,P0A8I3,False
C00002,P0A8I5,False
C00002,P0A8I8,False
C00002,P0A8J2,False
C00002,P0A8J4,False
C00002,P0A8J8,False
C00002,P0A8K5,False
C00002,P0A8L1,False
C00002,P0A8L7,False
C00002,P0A8M0,True
C00002,P0A8M3,True
C00002,P0A8M6,False
C00002,P0A8N0,False
C00002,P0A8N3,False
C00002,P0A8N5,False
C00002,P0A8N7,False
C00002,P0A8P3,False
C00002,P0A8P8,False
C00002,P0A8Q3,False
C00002,P0A8Q6,False
C00002,P0A8R0,False
C00002,P0A8R4,False
C00002,P0A8R9,False
C00002,P0A8S1,False
C00002,P0A8S9,False
C00002,P0A8T1,False
C00002,P0A8T7,False
C00002,P0A8U0,False
C00002,P0A8U6,False
C00002,P0A8V0,False
C00002,P0A8V2,False
C00002,P0A8V6,False
C00002,P0A8W0,False
C00002,P0A8W2,False
C00002,P0A8W5,False
C00002,P0A8W8,False
C00002,P0A8X0,False
C00002,P0A8X2,False
C00002,P0A8Y1,False
C00002,P0A8Y3,False
C00002,P0A8Y5,False
