KEGG,Uniprot_KB_id,interaction
CIDs00005957,511145.b2029,True
CIDs00005957,511145.b4154,False
CIDs00005957,511145.b1761,False
CIDs00005957,511145.b1109,False
CIDs00005957,511145.b3908,False
CIDs00005957,511145.b2234,True
CIDs00005957,511145.b0928,False
CIDs00005957,511145.b0003,False
CIDs00005957,511145.b0002,True
CIDs00005957,511145.b3940,False
CIDs00005957,511145.b3067,True
CIDs00005957,511145.b3863,False
CIDs00005957,511145.b0383,False
CIDs00005957,511145.b0344,False
CIDs00005957,511145.b4150,False
CIDs00005957,511145.b2838,False
CIDs00005957,511145.b3956,True
CIDs00005957,511145.b1704,True
CIDs00005957,511145.b2601,False
CIDs00005957,511145.b0077,False
CIDs00005957,511145.b0078,True
CIDs00005957,511145.b1264,False
CIDs00005957,511145.b3360,False
CIDs00005957,511145.b1263,False
CIDs00005957,511145.b1262,False
CIDs00005957,511145.b2366,False
CIDs00005957,511145.b0004,True
CIDs00005957,511145.b3939,False
CIDs00005957,511145.b3806,False
CIDs00005957,511145.b1613,False
CIDs00005957,511145.b3384,True
CIDs00005957,511145.b0026,False
CIDs00005957,511145.b2697,True
CIDs00005957,511145.b2114,True
CIDs00005957,511145.b3560,False
CIDs00005957,511145.b3559,True
CIDs00005957,511145.b0680,False
CIDs00005957,511145.b3744,True
CIDs00005957,511145.b0033,True
CIDs00005957,511145.b4200,True
CIDs00005957,511145.b3341,True
CIDs00005957,511145.b3301,True
CIDs00005957,511145.b1901,False
CIDs00005957,511145.b3751,False
CIDs00005957,511145.b1252,False
CIDs00005957,511145.b3035,False
CIDs00005957,511145.b0929,False
CIDs00005957,511145.b3702,False
CIDs00005957,511145.b0215,False
CIDs00005957,511145.b3813,False
CIDs00005957,511145.b0345,False
CIDs00005957,511145.b2840,False
CIDs00005957,511145.b3742,False
CIDs00005957,511145.b4037,False
CIDs00005957,511145.b0031,False
CIDs00005957,511145.b2507,True
CIDs00005957,511145.b4314,False
CIDs00005957,511145.b0239,False
CIDs00005957,511145.b4254,False
CIDs00005957,511145.b2068,False
CIDs00005957,511145.b2947,False
CIDs00005957,511145.b4054,False
CIDs00005957,511145.b2400,True
CIDs00005957,511145.b3458,False
CIDs00005957,511145.b0932,False
CIDs00005957,511145.b3661,False
CIDs00005957,511145.b0918,False
CIDs00005957,511145.b3772,False
CIDs00005957,511145.b3748,False
CIDs00005957,511145.b2011,False
CIDs00005957,511145.b1062,False
CIDs00005957,511145.b1812,False
CIDs00005957,511145.b1611,False
CIDs00005957,511145.b3164,False
CIDs00005957,511145.b3549,False
CIDs00005957,511145.b1693,False
CIDs00005957,511145.b2821,False
CIDs00005957,511145.b2320,False
CIDs00005957,511145.b0049,False
CIDs00005957,511145.b4348,False
CIDs00005957,511145.b3771,False
CIDs00005957,511145.b3774,True
CIDs00005957,511145.b3064,False
CIDs00005957,511145.b0093,False
CIDs00005957,511145.b2133,False
CIDs00005957,511145.b1710,True
CIDs00005957,511145.b1274,False
CIDs00005957,511145.b2566,False
CIDs00005957,511145.b3973,False
CIDs00005957,511145.b0470,False
CIDs00005957,511145.b3500,False
CIDs00005957,511145.b4119,False
CIDs00005957,511145.b3008,False
CIDs00005957,511145.b3075,False
CIDs00005957,511145.b0115,True
CIDs00005957,511145.b0273,False
CIDs00005957,511145.b3056,False
CIDs00005957,511145.b1570,False
CIDs00005957,511145.b3640,False
CIDs00005957,511145.b3805,False
CIDs00005957,511145.b2021,False
CIDs00005957,511145.b2022,False
CIDs00005957,511145.b2020,False
CIDs00005957,511145.b2026,False
CIDs00005957,511145.b0051,False
CIDs00005957,511145.b3418,False
CIDs00005957,511145.b2215,False
CIDs00005957,511145.b1723,True
CIDs00005957,511145.b3825,False
CIDs00005957,511145.b1603,False
CIDs00005957,511145.b0871,False
CIDs00005957,511145.b0243,False
CIDs00005957,511145.b2891,False
CIDs00005957,511145.b4201,False
CIDs00005957,511145.b0724,False
CIDs00005957,511145.b2600,False
CIDs00005957,511145.b0480,False
CIDs00005957,511145.b0980,False
CIDs00005957,511145.b2306,False
CIDs00005957,511145.b4258,False
CIDs00005957,511145.b1713,False
CIDs00005957,511145.b1323,False
CIDs00005957,511145.b4013,False
CIDs00005957,511145.b3389,False
CIDs00005957,511145.b2822,False
CIDs00005957,511145.b2318,False
CIDs00005957,511145.b4382,False
CIDs00005957,511145.b3432,False
CIDs00005957,511145.b0642,False
CIDs00005957,511145.b0151,False
CIDs00005957,511145.b0092,False
CIDs00005957,511145.b3616,False
CIDs00005957,511145.b3671,False
CIDs00005957,511145.b2499,True
CIDs00005957,511145.b2500,False
CIDs00005957,511145.b2315,False
CIDs00005957,511145.b1136,False
CIDs00005957,511145.b3365,False
CIDs00005957,511145.b1281,False
CIDs00005957,511145.b1282,False
CIDs00005957,511145.b1714,True
CIDs00005957,511145.b4213,False
CIDs00005957,511145.b4398,False
CIDs00005957,511145.b4400,False
CIDs00005957,511145.b3972,False
CIDs00005957,511145.b2319,True
CIDs00005957,511145.b2820,False
CIDs00005957,511145.b0839,False
CIDs00005957,511145.b0015,False
CIDs00005957,511145.b4024,False
CIDs00005957,511145.b2416,False
CIDs00005957,511145.b4350,False
CIDs00005957,511145.b4349,False
CIDs00005957,511145.b4014,False
CIDs00005957,511145.b0522,True
CIDs00005957,511145.b1749,False
CIDs00005957,511145.b3572,False
CIDs00005957,511145.b3564,False
CIDs00005957,511145.b3803,False
CIDs00005957,511145.b0759,False
CIDs00005957,511145.b0758,False
CIDs00005957,511145.b0074,True
CIDs00005957,511145.b1804,False
CIDs00005957,511145.b0121,False
CIDs00005957,511145.b0565,False
CIDs00005957,511145.b2614,False
CIDs00005957,511145.b0903,False
CIDs00005957,511145.b2239,False
CIDs00005957,511145.b3600,False
CIDs00005957,511145.b1014,False
CIDs00005957,511145.b2310,False
CIDs00005957,511145.b3212,False
CIDs00005957,511145.b3213,False
CIDs00005957,511145.b3778,True
CIDs00005957,511145.b3698,False
CIDs00005957,511145.b4058,False
CIDs00005957,511145.b2296,True
CIDs00005957,511145.b0072,True
CIDs00005957,511145.b1094,True
CIDs00005957,511145.b4053,False
CIDs00005957,511145.b2530,True
CIDs00005957,511145.b2159,False
CIDs00005957,511145.b2818,False
CIDs00005957,511145.b3959,False
CIDs00005957,511145.b3237,False
CIDs00005957,511145.b0908,False
CIDs00005957,511145.b3390,False
CIDs00005957,511145.b0388,True
CIDs00005957,511145.b3172,True
CIDs00005957,511145.b3731,False
CIDs00005957,511145.b1593,False
CIDs00005957,511145.b0032,False
CIDs00005957,511145.b3926,False
CIDs00005957,511145.b4143,False
CIDs00005957,511145.b4142,False
CIDs00005957,511145.b2700,False
CIDs00005957,511145.b0437,False
CIDs00005957,511145.b0438,True
CIDs00005957,511145.b3931,True
CIDs00005957,511145.b0910,True
CIDs00005957,511145.b3974,False
CIDs00005957,511145.b3634,True
CIDs00005957,511145.b0103,False
CIDs00005957,511145.b2750,True
CIDs00005957,511145.b1189,False
CIDs00005957,511145.b0381,False
CIDs00005957,511145.b3809,False
CIDs00005957,511145.b3287,False
CIDs00005957,511145.b4383,False
CIDs00005957,511145.b4381,False
CIDs00005957,511145.b2478,False
CIDs00005957,511145.b3225,False
CIDs00005957,511145.b2527,False
CIDs00005957,511145.b3887,False
CIDs00005957,511145.b3340,True
CIDs00005957,511145.b4147,False
CIDs00005957,511145.b2171,False
CIDs00005957,511145.b0170,True
CIDs00005957,511145.b2511,False
CIDs00005957,511145.b3865,False
CIDs00005957,511145.b2779,True
CIDs00005957,511145.b0954,False
CIDs00005957,511145.b0180,False
CIDs00005957,511145.b1091,False
CIDs00005957,511145.b3261,False
CIDs00005957,511145.b3608,False
CIDs00005957,511145.b4025,False
CIDs00005957,511145.b0757,False
